id,label,timeset,party
0,John Kerry,,(D)
1,Frank Lautenberg,,(D)
2,William Cowan,,(D)
3,Jeffrey Chiesa,,(R)
4,Max Baucus,,(D)
5,Mark Begich,,(D)
6,Saxby Chambliss,,(R)
7,Kay Hagan,,(D)
8,Thomas Harkin,,(D)
9,Tim Johnson,,(D)
10,Mary Landrieu,,(D)
11,Carl Levin,,(D)
12,Mark Pryor,,(D)
13,John Rockefeller,,(D)
14,Mark Udall,,(D)
15,Thomas Coburn,,(R)
16,John Walsh,,(D)
17,Mike Johanns,,(R)
18,Kelly Ayotte,,(R)
19,Barbara Boxer,,(D)
20,Daniel Coats,,(R)
21,Mark Kirk,,(R)
22,Barbara Mikulski,,(D)
23,Harry Reid,,(D)
24,David Vitter,,(R)
25,Jefferson Sessions,,(R)
26,Sherrod Brown,,(D)
27,Maria Cantwell,,(D)
28,Benjamin Cardin,,(D)
29,Thomas Carper,,(D)
30,Robert Casey,,(D)
31,Bob Corker,,(R)
32,Dianne Feinstein,,(D)
33,Orrin Hatch,,(R)
34,Amy Klobuchar,,(D)
35,Claire McCaskill,,(D)
36,Robert Menéndez,,(D)
37,Bill Nelson,,(D)
38,Bernard Sanders,,(I)
39,Debbie Stabenow,,(D)
40,Jon Tester,,(D)
41,Sheldon Whitehouse,,(D)
42,John Barrasso,,(R)
43,Roger Wicker,,(R)
44,Lamar Alexander,,(R)
45,Thad Cochran,,(R)
46,Susan Collins,,(R)
47,John Cornyn,,(R)
48,Richard Durbin,,(D)
49,Michael Enzi,,(R)
50,Lindsey Graham,,(R)
51,James Inhofe,,(R)
52,Mitch McConnell,,(R)
53,Jeff Merkley,,(D)
54,John Reed,,(D)
55,James Risch,,(R)
56,Pat Roberts,,(R)
57,Jeanne Shaheen,,(D)
58,Tom Udall,,(D)
59,Mark Warner,,(D)
60,Kirsten Gillibrand,,(D)
61,Alan Franken,,(D)
62,Chris Coons,,(D)
63,Joe Manchin,,(D)
64,Tammy Baldwin,,(D)
65,Michael Bennet,,(D)
66,Richard Blumenthal,,(D)
67,Roy Blunt,,(R)
68,John Boozman,,(R)
69,Richard Burr,,(R)
70,Shelley Capito,,(R)
71,Bill Cassidy,,(R)
72,Michael Crapo,,(R)
73,Joe Donnelly,,(D)
74,Jeff Flake,,(R)
75,Cory Gardner,,(R)
76,Charles Grassley,,(R)
77,Martin Heinrich,,(D)
78,Mazie Hirono,,(D)
79,John Hoeven,,(R)
80,John Isakson,,(R)
81,Ron Johnson,,(R)
82,James Lankford,,(R)
83,Patrick Leahy,,(D)
84,Mike Lee,,(R)
85,Edward Markey,,(D)
86,John McCain,,(R)
87,Jerry Moran,,(R)
88,Lisa Murkowski,,(R)
89,Christopher Murphy,,(D)
90,Patty Murray,,(D)
91,Rand Paul,,(R)
92,Gary Peters,,(D)
93,Robert Portman,,(R)
94,Marco Rubio,,(R)
95,Charles Schumer,,(D)
96,Tim Scott,,(R)
97,Richard Shelby,,(R)
98,John Thune,,(R)
99,Patrick Toomey,,(R)
100,Ron Wyden,,(D)
101,Dean Heller,,(R)
102,Brian Schatz,,(D)
103,Tom Cotton,,(R)
104,Elizabeth Warren,,(D)
105,Angus King,,(I)
106,Steve Daines,,(R)
107,Heidi Heitkamp,,(D)
108,Deb Fischer,,(R)
109,Ted Cruz,,(R)
110,Timothy Kaine,,(D)
111,Cory Booker,,(D)
112,Dan Sullivan,,(R)
113,David Perdue,,(R)
114,Joni Ernst,,(R)
115,Thom Tillis,,(R)
116,Mike Rounds,,(R)
117,Benjamin Sasse,,(R)
